hours_operated,temperature,vibration,oil_pressure,rpm,load,health_label,RUL
1264.3,87.1,5.69,55.7,2203.0,63.8,Healthy,1092.1
4977.0,104.6,9.05,37.7,2065.0,62.9,Warning,618.1
392.2,95.1,4.82,49.3,2056.0,78.3,Healthy,967.9
9097.7,127.7,14.28,21.7,2167.0,83.4,Failure,136.6
2624.9,96.8,6.81,44.5,2042.0,55.8,Warning,805.2
6642.1,107.8,10.26,33.9,1839.0,46.2,Warning,414.9
3151.5,93.4,5.59,49.5,1097.0,43.2,Healthy,921.6
5224.7,89.6,8.67,41.0,949.0,38.6,Warning,645.2
5489.8,104.0,8.95,33.1,2281.0,29.0,Warning,508.8
1889.3,94.4,5.33,46.8,1825.0,49.0,Healthy,954.5
9697.4,117.3,14.37,23.6,2095.0,43.9,Failure,164.0
7762.6,132.6,12.26,20.8,1622.0,92.6,Failure,193.7
9398.0,107.6,13.65,22.2,1076.0,64.0,Failure,235.8
8953.5,116.5,12.33,24.4,1088.0,49.3,Failure,242.6
5999.1,108.3,10.19,34.4,1928.0,65.6,Warning,365.9
9222.6,110.9,12.81,24.1,1545.0,34.7,Failure,207.7
930.5,89.8,3.38,52.1,1201.0,56.1,Healthy,1190.8
2000.0,96.1,5.43,46.7,1637.0,68.8,Healthy,819.0
500.0,86.6,3.99,56.6,996.0,59.2,Healthy,1176.2
3287.0,99.4,7.21,44.9,1773.0,53.1,Warning,675.4
3917.3,101.9,8.26,38.4,1303.0,94.6,Warning,640.0
2749.9,108.1,7.4,44.7,2096.0,86.6,Warning,644.3
8295.9,112.6,12.38,24.0,1366.0,68.6,Failure,252.2
3599.7,97.0,7.91,40.3,1583.0,64.9,Warning,698.7
2845.3,95.3,6.13,43.0,917.0,68.4,Healthy,743.5
5449.8,102.5,8.5,34.3,1009.0,39.1,Warning,576.8
1452.2,90.0,5.1,50.4,1489.0,52.7,Healthy,1100.1
8031.9,106.6,11.03,31.4,1620.0,27.8,Warning,321.6
791.8,90.0,4.88,50.9,1800.0,58.3,Healthy,988.0
9869.5,119.7,13.46,18.8,1337.0,63.0,Failure,177.4
7733.8,111.2,12.2,26.2,1942.0,40.9,Failure,233.4
2027.2,111.6,6.56,42.7,2190.0,92.5,Warning,626.9
104.9,97.8,4.33,48.5,2070.0,88.7,Healthy,1079.1
8163.8,115.8,11.51,23.3,959.0,75.6,Failure,225.5
7083.2,110.6,10.98,28.4,1621.0,62.3,Failure,179.8
7303.6,118.3,11.23,27.0,1057.0,85.9,Failure,237.8
7724.1,101.9,10.7,30.4,1263.0,34.1,Warning,321.1
786.7,102.4,5.11,46.6,2380.0,80.3,Healthy,865.3
3616.7,91.5,6.7,47.6,1114.0,33.7,Healthy,830.8
1202.9,97.7,5.25,49.7,1648.0,80.6,Healthy,974.5
8637.9,111.9,12.67,25.1,1827.0,44.3,Failure,247.8
6251.8,115.5,10.62,29.5,1954.0,86.4,Failure,253.8
3342.4,106.2,7.49,38.9,1739.0,91.1,Warning,589.9
682.4,84.3,3.73,56.0,915.0,35.4,Healthy,1178.4
3144.3,102.7,6.27,44.4,1390.0,57.4,Warning,750.8
3285.6,110.2,8.47,35.2,1677.0,93.7,Warning,451.5
7309.6,110.8,10.86,27.0,1032.0,58.8,Failure,259.6
6393.7,111.0,10.86,29.2,1426.0,85.4,Warning,277.6
8877.8,110.3,13.24,23.7,950.0,66.2,Failure,252.7
4748.5,102.2,8.45,41.4,1018.0,51.3,Warning,651.8
1240.0,92.7,4.18,49.8,1495.0,45.0,Healthy,983.7
7146.8,108.4,10.17,29.0,1099.0,39.2,Warning,337.0
7619.8,113.8,12.21,24.5,1751.0,78.3,Failure,199.1
5634.7,104.5,9.64,33.2,1934.0,52.1,Warning,456.0
7721.1,108.0,12.48,26.5,2101.0,60.8,Failure,220.3
4963.3,100.6,8.5,39.6,1200.0,59.5,Warning,540.1
5251.2,107.4,9.18,32.6,1151.0,65.4,Warning,434.5
4304.0,103.7,8.99,39.0,1057.0,85.6,Warning,419.6
302.9,101.4,4.79,46.4,1855.0,93.7,Healthy,795.5
1123.5,92.4,4.72,50.3,1960.0,53.5,Healthy,996.7
362.7,94.3,3.26,51.5,947.0,82.9,Healthy,1089.9
6382.3,110.7,10.17,34.5,2304.0,78.5,Warning,325.7
3177.8,97.6,6.69,42.9,978.0,65.1,Warning,691.1
5110.3,101.2,9.75,29.9,1712.0,91.9,Warning,391.4
9080.3,111.5,12.79,18.5,1964.0,39.0,Failure,216.5
2530.5,87.8,5.88,49.2,2206.0,32.6,Healthy,994.8
4133.3,112.7,8.67,38.4,1971.0,84.8,Warning,470.3
7567.7,114.9,12.28,27.8,2103.0,55.7,Failure,255.0
2326.5,102.6,6.38,44.9,1409.0,84.3,Warning,782.5
816.0,105.7,4.91,51.5,2122.0,87.5,Healthy,848.8
2933.0,85.6,5.79,47.0,1020.0,29.4,Healthy,939.7
1654.2,109.2,6.11,47.5,2242.0,86.8,Warning,690.3
9300.5,118.9,13.73,16.5,1721.0,56.4,Failure,179.3
8090.8,114.0,12.36,22.9,2126.0,60.7,Failure,244.7
6352.4,113.5,10.24,25.9,1578.0,68.9,Failure,264.3
8721.0,118.1,13.84,20.3,1865.0,89.8,Failure,225.5
8046.5,102.5,11.37,29.0,1690.0,26.3,Warning,266.4
1906.4,94.4,5.8,48.9,1997.0,58.4,Healthy,992.1
8931.0,113.5,12.98,22.1,1022.0,73.1,Failure,203.4
5416.5,102.2,8.53,32.8,991.0,75.6,Warning,565.5
8084.0,118.4,12.15,23.3,1271.0,73.5,Failure,211.6
8966.1,106.5,12.55,21.3,1139.0,34.4,Failure,239.9
3214.1,99.5,6.75,47.5,2208.0,46.0,Warning,850.1
1145.0,87.4,3.98,51.9,1229.0,50.1,Healthy,1092.9
2318.0,97.9,7.25,44.3,2364.0,81.3,Warning,769.2
4299.7,98.6,7.24,44.8,1405.0,44.5,Warning,783.3
8189.2,99.9,10.92,25.3,1173.0,39.7,Warning,283.6
8614.3,122.8,13.81,17.5,2085.0,92.0,Failure,145.4
119.2,79.0,2.56,56.0,1888.0,25.6,Healthy,1423.2
5131.9,119.1,9.46,31.8,1647.0,94.8,Warning,276.2
4203.2,108.1,8.25,39.2,1733.0,72.4,Warning,546.3
2260.0,103.2,6.79,46.5,1979.0,83.0,Warning,806.6
1242.7,93.1,4.08,58.0,1243.0,45.6,Healthy,1037.4
3409.3,92.3,6.82,40.2,2395.0,26.0,Warning,729.5
9432.0,125.0,15.29,19.6,2362.0,76.7,Failure,168.9
3265.9,106.0,7.51,39.5,1875.0,83.4,Warning,532.1
5212.0,107.4,9.31,33.3,1199.0,76.8,Warning,409.2
7045.0,109.9,10.42,29.0,1920.0,35.0,Warning,286.7
3668.1,104.1,7.07,38.0,1008.0,77.7,Warning,618.0
9719.2,119.5,13.82,22.3,946.0,78.8,Failure,150.0
9626.4,112.2,13.78,22.2,1287.0,71.1,Failure,241.2
2555.2,97.7,6.72,45.0,1594.0,78.6,Warning,793.6
4997.6,111.3,10.72,37.7,2202.0,84.2,Warning,428.3
3043.7,102.1,6.8,39.3,1991.0,68.0,Warning,672.8
2884.2,89.4,5.84,44.4,2014.0,31.2,Healthy,843.8
417.0,99.0,3.67,47.0,1538.0,59.1,Healthy,996.2
6115.2,105.0,9.33,32.9,1419.0,30.4,Warning,414.3
5051.7,104.1,8.71,37.4,1457.0,53.5,Warning,469.8
562.2,93.5,4.76,53.5,2381.0,53.5,Healthy,1123.5
2822.5,87.7,4.27,48.7,960.0,29.6,Healthy,991.7
9087.2,112.2,12.45,19.3,2201.0,49.4,Failure,164.1
2433.6,91.7,5.2,50.7,1768.0,32.8,Healthy,1052.5
1491.7,99.5,5.89,48.4,1558.0,81.6,Healthy,832.4
4920.1,107.8,9.11,36.7,1988.0,91.3,Warning,437.9
9857.2,112.2,12.21,16.6,1630.0,30.1,Failure,161.1
2458.4,105.8,7.41,43.9,2210.0,91.9,Warning,752.3
6737.7,105.1,11.26,28.1,2251.0,61.6,Warning,217.1
7628.1,104.8,10.86,28.0,1533.0,46.0,Warning,284.1
2414.5,87.5,4.64,50.9,1315.0,30.4,Healthy,1095.5
7295.8,117.7,11.06,27.3,1789.0,60.0,Failure,242.9
3709.4,109.5,8.36,36.9,2269.0,80.6,Warning,505.1
6341.4,104.5,10.15,31.8,1216.0,74.5,Warning,298.6
6353.6,103.4,9.85,30.4,1834.0,28.5,Warning,350.7
5381.0,94.0,7.48,41.8,1847.0,30.1,Warning,718.3
948.4,96.5,4.08,51.0,2000.0,53.2,Healthy,964.2
8361.3,106.4,11.37,29.2,1097.0,45.7,Failure,253.5
3241.8,96.1,6.53,43.6,1974.0,41.3,Warning,819.7
1905.9,99.2,5.21,47.1,2264.0,44.7,Healthy,936.8
455.7,89.5,4.38,51.1,1170.0,81.2,Healthy,995.0
5929.4,106.8,9.61,34.1,1256.0,90.0,Warning,508.1
6791.8,108.5,11.1,28.9,2357.0,53.4,Warning,293.0
215.0,98.6,4.2,53.4,1171.0,88.4,Healthy,1020.2
5145.3,98.6,9.75,37.1,2182.0,47.5,Warning,565.8
2303.6,86.2,5.62,43.9,1638.0,58.4,Healthy,1082.8
6469.5,100.8,9.86,32.3,1271.0,40.8,Warning,360.8
1784.9,101.5,5.17,44.2,2206.0,69.8,Healthy,822.3
6924.8,120.7,10.78,26.1,1568.0,93.5,Failure,169.5
3898.0,101.1,8.15,37.6,1672.0,67.2,Warning,607.1
9370.5,111.8,13.26,24.3,1439.0,50.0,Failure,220.2
1418.3,100.9,5.71,48.1,1789.0,70.3,Healthy,854.9
3443.6,85.3,5.59,46.1,1145.0,33.6,Healthy,913.5
1179.1,97.3,5.41,50.6,1487.0,87.2,Healthy,808.1
9250.7,119.6,14.7,22.9,2354.0,60.2,Failure,192.3
8779.5,113.9,12.84,23.1,1287.0,56.5,Failure,247.4
2616.5,97.9,6.62,43.4,1885.0,66.0,Warning,749.8
6616.8,109.6,10.67,25.8,1388.0,68.7,Failure,260.0
8181.4,99.4,11.21,27.3,2060.0,30.0,Warning,227.8
5574.2,103.9,9.98,32.9,1096.0,72.8,Warning,432.9
5320.0,105.5,8.93,36.8,2355.0,41.9,Warning,470.9
2456.4,96.5,6.57,44.8,1581.0,75.0,Healthy,761.3
976.4,96.3,4.1,51.7,1254.0,82.6,Healthy,972.4
8977.3,118.8,12.87,18.9,1010.0,81.3,Failure,185.0
9009.2,112.8,13.6,22.1,1155.0,63.7,Failure,213.2
6349.4,108.9,10.23,34.6,1680.0,61.4,Warning,298.3
3423.3,89.8,6.9,46.6,1406.0,35.0,Healthy,829.2
3524.6,105.5,7.97,40.2,2143.0,79.3,Warning,595.5
7273.3,108.6,10.13,28.1,1546.0,44.0,Warning,239.5
8976.2,114.1,13.32,20.8,1273.0,59.8,Failure,246.7
8876.5,110.3,12.59,22.0,1826.0,44.9,Failure,195.7
7809.8,108.4,11.75,27.0,1960.0,34.4,Failure,222.9
6438.2,110.5,10.34,32.5,1151.0,69.1,Warning,273.0
887.2,76.4,2.6,56.0,1151.0,28.8,Healthy,1411.4
1658.2,99.7,5.22,44.1,955.0,77.4,Healthy,883.9
8990.6,112.7,14.0,27.6,2005.0,47.2,Failure,186.2
6084.0,101.9,9.5,36.3,1896.0,25.0,Warning,526.7
141.5,94.7,3.46,50.5,1612.0,60.8,Healthy,1079.1
1059.6,83.4,4.46,53.7,2166.0,28.3,Healthy,1150.1
6651.8,104.7,10.63,32.5,2109.0,44.3,Warning,336.9
100.4,93.1,3.97,58.1,1778.0,74.5,Healthy,1053.9
1650.0,87.5,4.29,49.3,2202.0,29.4,Healthy,1075.6
5509.9,115.0,9.8,34.5,1209.0,83.8,Warning,311.9
6934.4,96.4,10.14,37.3,1068.0,25.3,Warning,572.1
6537.0,101.1,9.53,31.8,1305.0,42.3,Warning,376.4
2281.5,98.1,6.42,45.1,986.0,76.9,Healthy,898.1
7136.2,103.2,10.85,28.2,1697.0,47.1,Warning,301.9
2410.6,92.0,5.34,48.2,2305.0,32.1,Healthy,958.0
3287.7,95.4,6.67,44.3,959.0,50.2,Warning,832.1
7477.6,103.9,10.69,31.4,1083.0,43.9,Warning,303.7
6513.8,113.0,11.36,31.9,1578.0,84.0,Failure,269.5
8499.8,111.9,12.64,23.0,2301.0,46.9,Failure,149.3
6593.2,106.5,10.89,25.4,1374.0,80.2,Warning,225.1
5704.7,113.3,10.5,31.5,1661.0,87.4,Warning,245.8
982.1,95.1,3.98,52.3,962.0,55.4,Healthy,965.0
3708.8,104.6,7.0,40.1,1123.0,88.7,Warning,638.4
2688.8,99.5,6.08,44.7,2380.0,51.4,Warning,816.0
2477.7,109.5,7.68,42.7,2348.0,92.5,Warning,647.0
9731.5,103.5,12.8,27.1,907.0,31.3,Failure,238.7
3961.3,112.8,8.23,38.9,2328.0,73.1,Warning,468.8
8925.9,116.5,12.73,21.1,1859.0,59.6,Failure,213.1
6329.8,114.1,10.01,30.0,2202.0,52.1,Warning,284.0
7958.4,111.6,11.47,25.2,1582.0,69.3,Failure,256.7
5051.2,113.8,9.22,38.3,1673.0,74.3,Warning,453.1
5790.2,101.3,8.58,36.1,1633.0,25.3,Warning,531.4
4950.6,101.8,7.96,38.6,1900.0,36.7,Warning,551.9
1992.7,97.5,5.53,45.7,1109.0,74.9,Healthy,826.0
7238.4,109.1,11.29,31.0,945.0,71.6,Warning,231.0
2843.7,108.2,7.93,46.3,1362.0,92.6,Warning,627.9
291.9,96.7,3.7,53.5,1957.0,78.3,Healthy,1078.0
6472.4,106.4,11.42,30.4,1203.0,91.6,Warning,313.2
1812.3,95.4,6.23,48.0,1910.0,74.2,Healthy,870.9
9407.6,115.6,13.46,15.4,2355.0,45.9,Failure,188.1
9541.6,109.3,12.84,24.6,1041.0,32.4,Failure,222.7
9152.9,120.9,13.87,19.9,1909.0,79.7,Failure,170.5
3733.1,106.7,7.71,41.0,1566.0,70.1,Warning,561.7
203.8,79.2,3.71,56.5,2202.0,28.4,Healthy,1130.6
9286.8,112.4,13.24,21.2,1166.0,50.2,Failure,187.7
4310.4,104.0,9.26,36.5,1939.0,92.0,Warning,521.7
9668.2,121.9,14.11,21.3,2157.0,60.0,Failure,162.8
9638.0,118.5,13.64,18.7,2317.0,55.3,Failure,180.2
8537.4,115.9,12.74,28.8,1925.0,57.0,Failure,230.6
2979.8,90.9,6.58,47.8,1646.0,39.6,Healthy,908.3
3881.7,104.1,6.87,37.7,1827.0,50.8,Warning,585.4
8518.8,117.9,12.4,23.3,2203.0,50.9,Failure,234.3
3203.4,94.6,6.19,44.3,1756.0,28.7,Healthy,893.1
1736.5,95.7,4.88,42.4,946.0,78.7,Healthy,819.4
5590.2,109.2,9.42,38.4,2296.0,54.2,Warning,404.8
9364.7,120.0,14.2,20.7,1934.0,82.6,Failure,212.5
6975.5,119.1,11.24,27.9,1915.0,84.5,Failure,226.8
5722.1,105.7,8.47,35.7,1224.0,39.8,Warning,393.5
1016.9,100.1,5.16,46.3,1888.0,71.0,Healthy,797.8
6169.3,103.7,9.45,32.1,1491.0,58.1,Warning,411.3
9901.0,125.9,14.39,18.0,1877.0,86.6,Failure,136.0
1443.8,82.8,3.8,50.5,1060.0,40.1,Healthy,1111.4
5207.4,110.4,9.81,28.1,1887.0,72.4,Warning,324.8
8779.9,121.0,13.57,20.8,2399.0,67.5,Failure,225.2
7420.6,98.3,10.53,30.5,972.0,45.7,Warning,370.4
6985.3,103.0,10.84,32.3,2366.0,34.6,Warning,398.3
7039.7,110.5,10.55,30.5,1510.0,70.6,Warning,341.2
3626.9,105.2,8.28,41.8,2206.0,76.7,Warning,662.8
2971.2,93.1,6.7,46.6,2074.0,47.1,Healthy,857.9
8103.1,116.8,12.4,27.1,1751.0,70.1,Failure,170.0
8110.6,113.5,12.7,21.8,2008.0,52.7,Failure,224.2
8677.4,119.3,13.15,22.9,2218.0,74.9,Failure,225.3
9136.7,107.8,13.22,25.6,1506.0,38.9,Failure,219.0
5137.9,113.1,9.57,30.3,1391.0,87.3,Warning,411.3
5040.1,107.8,8.53,33.1,1901.0,45.1,Warning,497.1
7993.0,110.7,12.17,24.7,2112.0,50.7,Failure,241.8
6517.1,101.0,9.93,32.5,2043.0,29.1,Warning,470.0
7034.6,107.4,11.16,33.0,2097.0,32.8,Warning,315.2
7968.1,111.0,11.63,24.5,1553.0,61.1,Failure,169.3
8905.6,112.9,12.71,21.4,2127.0,43.7,Failure,198.1
3413.1,105.0,7.73,39.1,1080.0,83.5,Warning,658.5
3787.1,86.8,6.45,48.4,1717.0,26.0,Healthy,863.7
985.1,92.5,4.1,52.3,909.0,51.5,Healthy,1044.1
5803.9,103.0,9.95,34.6,1387.0,48.6,Warning,387.3
407.6,81.5,2.65,57.0,1450.0,26.4,Healthy,1369.6
4682.7,96.4,8.0,43.8,1494.0,33.7,Warning,767.8
5449.3,105.1,8.9,33.7,1943.0,54.0,Warning,423.6
2901.1,91.3,6.71,49.2,1483.0,59.5,Healthy,889.9
5928.8,110.1,9.72,33.7,1573.0,53.3,Warning,339.2
353.5,90.0,3.72,53.8,1256.0,62.2,Healthy,1159.7
421.6,93.5,3.58,59.3,1460.0,66.7,Healthy,1139.0
8234.9,107.2,10.61,25.0,1241.0,25.7,Failure,267.4
3633.9,93.5,7.07,42.4,1010.0,57.5,Warning,784.0
1314.3,103.2,4.86,44.1,1805.0,92.4,Healthy,1018.6
5246.3,105.2,9.17,38.2,1902.0,61.3,Warning,448.5
7711.4,118.1,12.61,29.3,1829.0,72.4,Failure,177.0
2197.4,85.7,5.46,54.0,1595.0,46.8,Healthy,1025.7
6247.8,110.7,11.35,33.8,1470.0,79.2,Warning,210.4
899.2,97.0,5.55,49.8,2195.0,79.1,Healthy,835.9
564.2,93.6,3.75,52.0,1679.0,61.5,Healthy,1008.7
5337.0,113.9,10.03,28.2,1619.0,93.3,Warning,238.2
5429.3,94.1,8.18,43.7,938.0,33.8,Warning,648.4
6392.4,97.0,8.74,36.5,1412.0,26.2,Warning,578.4
7274.6,113.5,11.32,25.7,1470.0,78.9,Failure,221.8
9759.7,118.4,14.29,21.3,1498.0,81.5,Failure,180.1
5187.2,102.2,7.63,35.5,1770.0,33.4,Warning,612.6
3263.4,94.5,6.56,46.0,1700.0,43.6,Healthy,777.4
7962.1,95.4,11.25,30.2,1812.0,26.2,Warning,350.9
2744.8,94.9,5.57,48.1,2047.0,45.5,Healthy,917.8
4417.8,105.0,9.12,37.5,2119.0,79.1,Warning,418.2
830.6,88.3,4.77,49.4,1977.0,61.3,Healthy,895.5
302.2,87.1,3.92,55.7,2333.0,49.4,Healthy,1173.1
9628.4,112.4,13.12,23.6,927.0,51.0,Failure,221.6
8368.0,108.6,11.61,27.0,1194.0,25.1,Failure,290.3
6974.9,104.5,10.46,33.1,911.0,46.0,Warning,368.6
4119.1,102.7,8.38,36.8,1871.0,70.3,Warning,598.7
1774.3,106.4,6.16,45.0,2247.0,93.2,Warning,742.1
1606.5,96.7,5.58,46.3,1265.0,84.3,Healthy,899.6
2539.9,90.1,6.17,50.8,2291.0,26.7,Healthy,1039.3
5514.8,104.9,9.44,33.8,990.0,87.9,Warning,343.0
7160.2,111.1,12.95,29.4,2302.0,79.8,Failure,240.9
6619.0,110.6,10.75,32.2,1427.0,79.6,Warning,386.1
2835.3,95.4,6.02,47.2,1052.0,57.1,Healthy,877.2
9550.9,114.8,13.38,21.4,1629.0,52.9,Failure,240.7
7392.1,104.8,10.98,27.3,1285.0,46.2,Warning,245.3
5565.8,94.3,7.8,38.3,1327.0,29.6,Warning,654.6
6136.6,104.0,9.21,32.9,1361.0,41.0,Warning,440.8
4225.0,95.3,7.38,41.0,2105.0,42.3,Warning,614.1
2514.9,99.8,6.16,44.7,1709.0,58.9,Warning,742.6
3591.9,99.3,7.94,38.9,1367.0,77.3,Warning,593.3
7590.6,109.0,12.0,22.9,1816.0,58.2,Failure,250.6
193.2,80.0,2.02,56.5,1974.0,29.0,Healthy,1362.7
1204.9,97.3,6.06,49.1,1309.0,92.0,Healthy,904.9
507.7,101.2,4.7,46.8,1520.0,91.0,Healthy,956.5
455.3,95.2,3.67,52.1,1083.0,80.0,Healthy,1051.3
8561.8,123.0,13.37,25.1,1172.0,94.4,Failure,225.1
7051.4,113.5,11.41,31.0,1922.0,63.1,Failure,243.6
4768.0,104.7,8.82,40.0,1172.0,92.4,Warning,543.1
1023.4,85.4,3.82,55.4,1688.0,30.3,Healthy,1144.6
4941.6,100.4,8.48,41.1,1964.0,50.6,Warning,633.9
4761.0,101.4,7.56,37.3,1060.0,40.8,Warning,588.0
1773.4,86.6,4.54,49.8,1751.0,38.7,Healthy,1112.6
4366.8,98.4,6.7,34.3,1285.0,34.9,Warning,604.1
4015.1,109.2,8.45,41.6,2344.0,68.6,Warning,495.4
6177.7,118.0,10.84,33.5,1625.0,79.7,Failure,264.9
6369.2,109.6,10.97,29.8,2109.0,65.5,Warning,266.9
500.8,88.8,3.64,54.6,1725.0,35.3,Healthy,1115.7
3777.4,110.6,7.73,36.6,965.0,81.8,Warning,565.5
6277.3,108.4,10.39,32.5,1850.0,69.5,Warning,308.6
5056.2,100.0,9.46,40.6,2327.0,52.2,Warning,544.8
8572.1,110.8,12.62,19.3,1802.0,72.2,Failure,247.3
6604.0,109.4,10.11,32.6,2129.0,43.2,Warning,405.9
1671.2,88.2,4.87,50.2,2226.0,49.2,Healthy,1123.3
752.2,95.6,5.07,50.8,1242.0,89.2,Healthy,955.8
6442.1,104.6,10.16,34.0,1218.0,45.3,Warning,448.6
313.8,91.8,3.92,53.7,1816.0,57.9,Healthy,1039.8
5878.5,113.5,10.83,30.7,1517.0,87.3,Warning,218.2
9405.3,122.5,14.01,18.2,2160.0,74.5,Failure,117.1
5776.0,106.5,9.43,37.9,2250.0,29.4,Warning,533.7
3912.3,91.3,6.83,44.9,1430.0,35.3,Healthy,766.7
6450.7,96.5,9.66,35.9,1255.0,25.5,Warning,501.9
4609.6,104.0,8.85,34.5,2071.0,69.2,Warning,455.8
5478.9,106.1,8.9,34.2,1312.0,56.3,Warning,489.6
9417.6,116.0,13.57,24.1,2134.0,34.4,Failure,191.4
3891.7,109.1,8.69,38.0,1536.0,92.1,Warning,443.9
9613.8,122.6,13.85,20.3,1901.0,62.1,Failure,191.1
9058.2,104.8,12.44,29.1,1043.0,41.9,Failure,203.3
1998.1,102.3,5.22,49.4,1836.0,60.0,Healthy,820.2
740.1,99.9,3.42,50.8,1578.0,72.6,Healthy,887.7
1052.7,89.6,3.91,52.3,1780.0,30.3,Healthy,1006.9
231.3,91.4,3.12,48.8,1152.0,44.2,Healthy,1106.2
989.7,93.3,5.28,50.2,2005.0,81.5,Healthy,855.6
6845.9,109.1,10.35,29.4,2194.0,57.2,Warning,227.0
758.3,88.6,3.84,54.0,1225.0,63.3,Healthy,1126.0
3223.8,98.1,5.49,43.5,1044.0,55.3,Healthy,788.0
8456.5,100.1,11.94,27.3,935.0,28.1,Warning,341.9
281.6,89.3,2.75,51.4,1863.0,36.6,Healthy,1265.8
8154.0,117.5,12.81,22.2,1811.0,56.2,Failure,183.9
2854.5,96.3,6.38,47.3,1720.0,39.6,Healthy,868.5
1225.7,85.9,3.28,58.1,1248.0,28.5,Healthy,1223.7
6982.5,110.8,11.06,27.9,1486.0,84.1,Failure,230.9
6308.0,112.8,11.34,30.3,1792.0,93.7,Failure,208.7
8780.8,123.5,13.16,22.6,1645.0,80.5,Failure,190.9
7364.0,121.9,12.55,22.8,2382.0,84.8,Failure,199.8
8044.6,106.2,11.19,28.6,1105.0,41.9,Warning,231.2
2856.2,104.9,6.75,40.1,1943.0,92.2,Warning,692.0
1815.5,82.8,3.82,54.1,1506.0,38.8,Healthy,1117.7
7518.6,113.9,12.42,25.8,1542.0,91.6,Failure,194.6
8078.0,128.4,13.06,21.7,1976.0,94.6,Failure,187.3
9905.5,117.8,14.56,16.0,1939.0,74.8,Failure,183.3
4155.5,112.9,9.48,38.1,2387.0,93.7,Warning,373.6
3751.6,102.9,7.7,46.0,1093.0,64.9,Warning,726.5
7775.3,101.3,10.98,26.8,1056.0,43.2,Warning,214.7
3441.0,100.8,7.08,41.8,1987.0,55.6,Warning,673.7
9311.0,121.4,14.01,20.2,1768.0,66.5,Failure,175.1
8591.2,106.2,11.28,28.5,1311.0,30.1,Failure,231.7
4318.5,111.5,7.99,35.9,1019.0,68.6,Warning,463.5
7521.2,110.1,12.28,18.9,1028.0,93.7,Failure,265.9
7557.7,112.6,11.74,31.6,2241.0,38.3,Failure,219.9
1076.1,95.1,3.96,51.9,1188.0,80.5,Healthy,1182.7
9030.4,123.2,13.51,14.7,1385.0,88.6,Failure,185.3
5077.3,111.0,9.09,32.3,1240.0,91.1,Warning,398.6
8273.3,116.9,13.14,26.4,1432.0,92.2,Failure,222.5
3234.5,97.6,6.72,47.2,1004.0,61.5,Healthy,952.0
8960.5,116.1,14.64,22.7,1679.0,93.4,Failure,165.1
